,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating,,Churn
192,4/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,1460000,3,,0
193,5/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,0,3,,0
194,6/1/2020,36,41,1,C18,1,32865,7/1/2019,,2,2,139080,3,,0
195,7/1/2020,36,41,1,C18,1,32865,7/1/2019,,2,2,984330,2,,0
196,8/1/2020,36,41,1,C18,1,32865,7/1/2019,29/07/20,2,2,-325140,2,,1
197,5/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1,,0
198,6/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,300000,1,,0
199,7/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,350020,1,,0
200,8/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1,,0
201,9/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1,,0
202,10/1/2020,37,33,1,C14,1,57375,16/05/20,16/10/20,2,2,0,1,,1
203,12/1/2019,38,22,0,C27,0,13427,12/6/2019,,1,1,0,1,,0
204,1/1/2020,38,22,0,C27,0,13427,12/6/2019,,1,1,0,1,,0
205,2/1/2020,38,22,0,C27,0,13427,12/6/2019,,1,1,155610,1,,0
206,3/1/2020,38,22,0,C27,0,13427,12/6/2019,15/03/20,1,1,-155610,1,,1
207,8/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,966340,3,,0
208,9/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,554010,3,,0
209,10/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,600440,2,,0
210,11/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,150470,2,,0
211,12/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,150970,2,,0
212,11/1/2019,40,,0,C15,0,59182,11/8/2019,,2,2,0,1,,0
213,12/1/2019,40,32,0,C15,0,59182,11/8/2019,,2,2,0,1,,0
214,1/1/2020,40,32,0,C15,0,59182,11/8/2019,,2,2,0,1,,0
215,2/1/2020,40,32,0,C15,0,59182,11/8/2019,14/02/20,2,2,0,1,,1
216,7/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,0,1,,0
217,8/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,0,1,,0
218,9/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1061060,1,,0
219,10/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1357440,3,,0
220,11/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1000000,3,,0
221,12/1/2019,41,34,0,C29,2,92372,7/4/2019,,4,4,2240810,3,,0
222,1/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1002760,3,,0
223,2/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,2600330,3,,0
224,3/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,6718850,3,,0
225,4/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,0,2,,0
226,5/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,811400,2,,0
227,6/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1071890,2,,0
228,7/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1358260,1,,0
229,8/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,306820,1,,0
230,9/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,0,1,,0
231,10/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,775520,2,,0
232,11/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,180770,2,,0
233,12/1/2020,41,35,0,C29,2,92372,7/4/2019,,4,4,1270000,2,,0
234,1/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,147900,1,,0
235,2/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,189020,1,,0
236,3/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,657770,1,,0
237,4/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,0,1,,0
238,5/1/2019,42,44,1,C28,0,45988,20/10/18,16/05/19,2,2,0,1,,1
239,1/1/2019,43,27,1,C15,0,12906,13/07/18,,1,1,359890,1,,0
240,2/1/2019,43,27,,C15,0,12906,13/07/18,20/02/19,1,1,0,1,,1
241,9/1/2020,44,28,0,C17,2,62100,25/09/20,,1,1,0,1,,0
242,10/1/2020,44,28,0,C17,2,62100,25/09/20,,1,1,150110,1,,0
243,11/1/2020,44,28,0,C17,2,62100,25/09/20,24/11/20,1,1,0,1,,1
244,6/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,0,1,,0
245,7/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1262040,3,,0
246,8/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1202980,3,,0
247,9/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,-58440,3,,0
248,10/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,964680,3,,0
249,11/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,334320,3,,0
250,12/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1521760,3,,0
251,1/1/2019,46,36,1,C25,2,42171,28/10/18,,1,1,231860,1,,0
252,2/1/2019,46,36,1,C25,2,42171,28/10/18,,1,1,106430,1,,0
253,3/1/2019,46,36,1,C25,2,42171,28/10/18,27/02/19,1,1,0,1,,1
254,10/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,0,2,,0
255,11/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,484060,2,,0
256,12/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,382210,2,,0
257,1/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,171760,1,,0
258,2/1/2019,49,21,,C20,0,53039,25/05/18,,1,2,0,1,,0
259,3/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,392890,1,,0
260,4/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,106160,1,,0
261,5/1/2019,49,,0,C20,0,53039,25/05/18,,1,2,124190,1,,0
262,6/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,1,,0
263,7/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,503500,2,,0
264,8/1/2019,49,21,,C20,0,53039,25/05/18,,1,2,300300,2,,0
265,9/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,2,,0
266,10/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,1,,0
267,11/1/2019,49,,0,C20,0,53039,25/05/18,,1,2,0,1,,0
268,12/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,200000,1,,0
269,1/1/2020,49,22,0,C20,0,53039,25/05/18,21/01/20,1,2,0,1,,1
270,1/1/2019,50,49,1,C5,0,89367,20/11/18,,3,3,110310,1,,0
271,2/1/2019,50,49,1,C5,0,89367,20/11/18,20/02/19,3,3,0,1,,1
272,1/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1,,0
273,2/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1,,0
274,3/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1,,0
275,6/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1,,0
276,7/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,200000,2,,0
277,8/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,845500,2,,0
278,9/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,742500,2,,0
279,10/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,250000,2,,0
280,11/1/2019,51,34,0,C14,0,131347,22/05/17,,4,4,570000,2,,0
281,12/1/2019,51,34,0,C14,0,131347,22/05/17,23/12/19,4,4,582010,2,,1
282,7/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,0,1,,0
283,8/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,0,1,,0
284,9/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,493300,1,,0
285,10/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,502020,2,,0
286,11/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,556710,2,,0
287,12/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,300560,2,,0
288,7/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,2,,0
289,8/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,2,,0
290,9/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,2000000,2,,0
291,10/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,3,,0
292,11/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,1950000,3,,0
293,12/1/2019,54,34,0,C29,1,117993,7/11/2019,,4,4,1455010,3,,0
294,1/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,3398000,4,,0
295,2/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,6062470,4,,0
296,3/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,14620880,4,,0
297,4/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,0,2,,0
298,5/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,1380000,2,,0
299,6/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,1449260,3,,0
300,7/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,193240,1,,0
301,8/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,350000,1,,0
302,9/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1,,0
303,10/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1,,0
304,11/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1,,0
305,12/1/2020,54,35,0,C29,1,127826,7/11/2019,,4,5,964430,1,,0
306,11/1/2019,55,30,1,C8,0,29985,21/11/19,,1,1,0,1,,0
307,12/1/2019,55,30,1,C8,0,29985,21/11/19,,1,1,0,1,,0
308,1/1/2020,55,30,1,C8,0,29985,21/11/19,,1,1,0,1,,0
309,2/1/2020,55,30,1,C8,0,29985,21/11/19,,1,1,0,1,,0
310,3/1/2020,55,30,1,C8,0,29985,21/11/19,15/03/20,1,1,0,1,,1
311,1/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,402040,3,,0
312,2/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,358980,3,,0
313,3/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,1111110,3,,0
314,4/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,0,2,,0
315,5/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,428450,2,,0
316,6/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,0,2,,0
317,7/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,717580,4,,0
318,8/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,500000,4,,0
319,9/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,936760,4,,0
320,10/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,1125300,3,,0
321,11/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,500000,3,,0
322,12/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,0,3,,0
